RBD;GRADO;CD2018
6269;Media;MEDIO
6270;Media;MEDIO
6301;Media;MEDIO-BAJO
6302;Media;ALTO
6336;Media;ALTO
6348;Media;MEDIO
6397;Media;INSUFICIENTE
6452;Media;MEDIO-BAJO
6465;Media;INSUFICIENTE
6496;Media;SIN CATEGORIA: BAJA MATRICULA
6497;Media;MEDIO
6584;Media;MEDIO
6585;Media;MEDIO
6586;Media;MEDIO
6641;Media;MEDIO-BAJO
6643;Media;MEDIO
6644;Media;MEDIO
6649;Media;MEDIO
6650;Media;MEDIO
6708;Media;MEDIO
6751;Media;MEDIO
6752;Media;MEDIO
6753;Media;MEDIO
6754;Media;MEDIO
6755;Media;INSUFICIENTE
6757;Media;INSUFICIENTE
6766;Media;MEDIO
6770;Media;MEDIO
6826;Media;ALTO
6828;Media;MEDIO
6829;Media;MEDIO
6830;Media;MEDIO
6832;Media;ALTO
6835;Media;MEDIO
6836;Media;MEDIO
6843;Media;ALTO
6844;Media;ALTO
6846;Media;MEDIO-BAJO
6853;Media;MEDIO
6895;Media;MEDIO
6896;Media;ALTO
6897;Media;MEDIO
6899;Media;MEDIO-BAJO
6922;Media;MEDIO-BAJO
6925;Media;MEDIO
6929;Media;MEDIO
6983;Media;MEDIO
7004;Media;MEDIO
7006;Media;MEDIO
7015;Media;MEDIO
7031;Media;MEDIO
7044;Media;MEDIO
7049;Media;MEDIO
7085;Media;MEDIO-BAJO
7102;Media;MEDIO-BAJO
7128;Media;MEDIO
7129;Media;MEDIO
7135;Media;MEDIO-BAJO
7180;Media;ALTO
7181;Media;MEDIO
7200;Media;MEDIO
7236;Media;MEDIO
7240;Media;MEDIO
7276;Media;ALTO
7299;Media;MEDIO
7325;Media;ALTO
7326;Media;MEDIO-BAJO
7328;Media;MEDIO-BAJO
7329;Media;MEDIO
7331;Media;MEDIO
7388;Media;ALTO
7401;Media;ALTO
7406;Media;ALTO
7414;Media;MEDIO
7415;Media;ALTO
7416;Media;ALTO
7435;Media;ALTO
7441;Media;MEDIO
7470;Media;ALTO
7505;Media;MEDIO
